2024-11-18 02:13:26,503 p=46913 u=jason n=ansible | PLAY [Initial setup] ****************************************************************************************************************************************************
2024-11-18 02:28:16,905 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:28:16,909 p=53167 u=jason n=ansible | TASK [bind : Install Bind9] *********************************************************************************************************************************************
2024-11-18 02:28:18,094 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:28:18,100 p=53167 u=jason n=ansible | TASK [bind : Template named.conf.options] *******************************************************************************************************************************
2024-11-18 02:28:18,929 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:28:18,932 p=53167 u=jason n=ansible | TASK [bind : Template named.conf.local] *********************************************************************************************************************************
2024-11-18 02:28:19,632 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:28:19,637 p=53167 u=jason n=ansible | TASK [bind : Template forward zone file] ********************************************************************************************************************************
2024-11-18 02:28:20,331 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:28:20,335 p=53167 u=jason n=ansible | TASK [bind : Template reverse zone file] ********************************************************************************************************************************
2024-11-18 02:28:21,021 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:28:21,028 p=53167 u=jason n=ansible | TASK [bind : Validate Bind9 Configuration] ******************************************************************************************************************************
2024-11-18 02:28:21,474 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:28:21,478 p=53167 u=jason n=ansible | TASK [bind : Validate Forward Zone] *************************************************************************************************************************************
2024-11-18 02:28:21,855 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:28:21,861 p=53167 u=jason n=ansible | TASK [bind : Validate Reverse Zone] *************************************************************************************************************************************
2024-11-18 02:28:22,236 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:28:22,245 p=53167 u=jason n=ansible | TASK [bind : Ensure Bind9 is running and enabled] ***********************************************************************************************************************
2024-11-18 02:28:22,785 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:28:22,792 p=53167 u=jason n=ansible | PLAY [Configure DNS Client] *********************************************************************************************************************************************
2024-11-18 02:28:22,799 p=53167 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:28:23,843 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:28:23,863 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:28:23,866 p=53167 u=jason n=ansible | TASK [config-dns : Resolv.conf] *****************************************************************************************************************************************
2024-11-18 02:28:24,548 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:28:24,564 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:28:24,571 p=53167 u=jason n=ansible | TASK [config-dns : Stop systemd-resolved] *******************************************************************************************************************************
2024-11-18 02:28:25,141 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:28:25,142 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:28:25,154 p=53167 u=jason n=ansible | PLAY [Prometheus Server] ************************************************************************************************************************************************
2024-11-18 02:28:25,160 p=53167 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:28:26,191 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:28:26,196 p=53167 u=jason n=ansible | TASK [prometheus : Install Prometheus] **********************************************************************************************************************************
2024-11-18 02:28:27,385 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:28:27,392 p=53167 u=jason n=ansible | TASK [prometheus : Copy Prometheus default file] ************************************************************************************************************************
2024-11-18 02:28:28,211 p=53167 u=jason n=ansible | changed: [1PipeTeaseOps-2]
2024-11-18 02:28:28,216 p=53167 u=jason n=ansible | TASK [prometheus : Modify /etc/prometheus/prometheus.yml] ***************************************************************************************************************
2024-11-18 02:28:28,966 p=53167 u=jason n=ansible | changed: [1PipeTeaseOps-2]
2024-11-18 02:28:28,972 p=53167 u=jason n=ansible | TASK [prometheus : Enable Prometheus] ***********************************************************************************************************************************
2024-11-18 02:28:29,543 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:28:29,558 p=53167 u=jason n=ansible | RUNNING HANDLER [prometheus : Restart Prometheus] ***********************************************************************************************************************
2024-11-18 02:28:30,298 p=53167 u=jason n=ansible | changed: [1PipeTeaseOps-2]
2024-11-18 02:28:30,301 p=53167 u=jason n=ansible | PLAY [Configure Database Server] ****************************************************************************************************************************************
2024-11-18 02:28:30,310 p=53167 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:28:31,611 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:28:31,615 p=53167 u=jason n=ansible | TASK [mysql : Install MySQL Server] *************************************************************************************************************************************
2024-11-18 02:28:32,817 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:28:32,823 p=53167 u=jason n=ansible | TASK [mysql : Copy Override Config] *************************************************************************************************************************************
2024-11-18 02:28:33,483 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:28:33,490 p=53167 u=jason n=ansible | TASK [mysql : Enable and Start MySQL Server] ****************************************************************************************************************************
2024-11-18 02:28:34,038 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:28:34,043 p=53167 u=jason n=ansible | TASK [mysql : MySQL Database] *******************************************************************************************************************************************
2024-11-18 02:28:34,530 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:28:34,536 p=53167 u=jason n=ansible | TASK [mysql : Create MySQL User] ****************************************************************************************************************************************
2024-11-18 02:28:35,076 p=53167 u=jason n=ansible | [WARNING]: Option column_case_sensitive is not provided. The default is now false, so the column's name will be uppercased. The default will be changed to true in
community.mysql 4.0.0.

2024-11-18 02:28:35,076 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:28:35,084 p=53167 u=jason n=ansible | PLAY [Configure Agama] **************************************************************************************************************************************************
2024-11-18 02:28:35,091 p=53167 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:28:36,111 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:28:36,116 p=53167 u=jason n=ansible | TASK [agama : make user Agama] ******************************************************************************************************************************************
2024-11-18 02:28:36,603 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:28:36,607 p=53167 u=jason n=ansible | TASK [agama : Agama is owner now] ***************************************************************************************************************************************
2024-11-18 02:28:37,285 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:28:37,291 p=53167 u=jason n=ansible | TASK [agama : download python3 flask sql] *******************************************************************************************************************************
2024-11-18 02:28:38,448 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:28:38,455 p=53167 u=jason n=ansible | TASK [agama : Download agama.py] ****************************************************************************************************************************************
2024-11-18 02:28:39,054 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:28:39,061 p=53167 u=jason n=ansible | PLAY [Configure uWSGI] **************************************************************************************************************************************************
2024-11-18 02:28:39,065 p=53167 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:28:40,104 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:28:40,108 p=53167 u=jason n=ansible | TASK [uwsgi : Install uWSGI] ********************************************************************************************************************************************
2024-11-18 02:28:41,212 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:28:41,219 p=53167 u=jason n=ansible | TASK [uwsgi : Configure host uwsgi] *************************************************************************************************************************************
2024-11-18 02:28:41,876 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:28:41,883 p=53167 u=jason n=ansible | TASK [uwsgi : Enable and start uWSGI service] ***************************************************************************************************************************
2024-11-18 02:28:42,403 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:28:42,411 p=53167 u=jason n=ansible | PLAY [Configure Nginx] **************************************************************************************************************************************************
2024-11-18 02:28:42,418 p=53167 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:28:43,466 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:28:43,468 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:28:43,473 p=53167 u=jason n=ansible | TASK [nginx : Install nginx] ********************************************************************************************************************************************
2024-11-18 02:28:44,619 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:28:44,621 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:28:44,627 p=53167 u=jason n=ansible | TASK [nginx : Template Nginx Config] ************************************************************************************************************************************
2024-11-18 02:28:45,282 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:28:45,301 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:28:45,308 p=53167 u=jason n=ansible | TASK [nginx : Enable and Start Nginx Service] ***************************************************************************************************************************
2024-11-18 02:28:45,838 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:28:45,848 p=53167 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:28:45,861 p=53167 u=jason n=ansible | PLAY RECAP **************************************************************************************************************************************************************
2024-11-18 02:28:45,861 p=53167 u=jason n=ansible | 1PipeTeaseOps-1            : ok=20   changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-11-18 02:28:45,861 p=53167 u=jason n=ansible | 1PipeTeaseOps-2            : ok=33   changed=3    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-11-18 02:31:12,839 p=54429 u=jason n=ansible | PLAY [Initial setup] ****************************************************************************************************************************************************
2024-11-18 02:31:12,850 p=54429 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:31:14,819 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:31:14,838 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:14,842 p=54429 u=jason n=ansible | TASK [init : Update APT cache] ******************************************************************************************************************************************
2024-11-18 02:31:15,940 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:31:15,941 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:15,947 p=54429 u=jason n=ansible | TASK [init : Install Prometheus Node Exporter] **************************************************************************************************************************
2024-11-18 02:31:17,168 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:31:17,200 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:17,205 p=54429 u=jason n=ansible | TASK [init : Ensure Prometheus Node Exporter is running] ****************************************************************************************************************
2024-11-18 02:31:17,993 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:31:17,994 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:18,008 p=54429 u=jason n=ansible | PLAY [Configure DNS Server] *********************************************************************************************************************************************
2024-11-18 02:31:18,016 p=54429 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:31:19,136 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:19,141 p=54429 u=jason n=ansible | TASK [bind : Install Bind9] *********************************************************************************************************************************************
2024-11-18 02:31:20,449 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:20,457 p=54429 u=jason n=ansible | TASK [bind : Template named.conf.options] *******************************************************************************************************************************
2024-11-18 02:31:21,305 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:21,311 p=54429 u=jason n=ansible | TASK [bind : Template named.conf.local] *********************************************************************************************************************************
2024-11-18 02:31:22,029 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:22,035 p=54429 u=jason n=ansible | TASK [bind : Template forward zone file] ********************************************************************************************************************************
2024-11-18 02:31:22,719 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:22,727 p=54429 u=jason n=ansible | TASK [bind : Template reverse zone file] ********************************************************************************************************************************
2024-11-18 02:31:23,426 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:23,434 p=54429 u=jason n=ansible | TASK [bind : Validate Bind9 Configuration] ******************************************************************************************************************************
2024-11-18 02:31:23,892 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:23,898 p=54429 u=jason n=ansible | TASK [bind : Validate Forward Zone] *************************************************************************************************************************************
2024-11-18 02:31:24,292 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:24,299 p=54429 u=jason n=ansible | TASK [bind : Validate Reverse Zone] *************************************************************************************************************************************
2024-11-18 02:31:24,682 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:24,691 p=54429 u=jason n=ansible | TASK [bind : Ensure Bind9 is running and enabled] ***********************************************************************************************************************
2024-11-18 02:31:25,229 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:25,237 p=54429 u=jason n=ansible | PLAY [Configure DNS Client] *********************************************************************************************************************************************
2024-11-18 02:31:25,243 p=54429 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:31:26,309 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:31:26,343 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:26,347 p=54429 u=jason n=ansible | TASK [config-dns : Resolv.conf] *****************************************************************************************************************************************
2024-11-18 02:31:27,035 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:31:27,037 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:27,044 p=54429 u=jason n=ansible | TASK [config-dns : Stop systemd-resolved] *******************************************************************************************************************************
2024-11-18 02:31:27,635 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:31:27,653 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:27,664 p=54429 u=jason n=ansible | PLAY [Prometheus Server] ************************************************************************************************************************************************
2024-11-18 02:31:27,669 p=54429 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:31:28,762 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:28,766 p=54429 u=jason n=ansible | TASK [prometheus : Install Prometheus] **********************************************************************************************************************************
2024-11-18 02:31:29,929 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:29,935 p=54429 u=jason n=ansible | TASK [prometheus : Copy Prometheus default file] ************************************************************************************************************************
2024-11-18 02:31:30,644 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:30,651 p=54429 u=jason n=ansible | TASK [prometheus : Modify /etc/prometheus/prometheus.yml] ***************************************************************************************************************
2024-11-18 02:31:31,402 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:31,411 p=54429 u=jason n=ansible | TASK [prometheus : Enable Prometheus] ***********************************************************************************************************************************
2024-11-18 02:31:32,023 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:32,031 p=54429 u=jason n=ansible | PLAY [Configure Database Server] ****************************************************************************************************************************************
2024-11-18 02:31:32,038 p=54429 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:31:33,065 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:33,070 p=54429 u=jason n=ansible | TASK [mysql : Install MySQL Server] *************************************************************************************************************************************
2024-11-18 02:31:34,378 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:34,385 p=54429 u=jason n=ansible | TASK [mysql : Copy Override Config] *************************************************************************************************************************************
2024-11-18 02:31:35,121 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:35,129 p=54429 u=jason n=ansible | TASK [mysql : Enable and Start MySQL Server] ****************************************************************************************************************************
2024-11-18 02:31:35,713 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:35,719 p=54429 u=jason n=ansible | TASK [mysql : MySQL Database] *******************************************************************************************************************************************
2024-11-18 02:31:36,238 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:36,245 p=54429 u=jason n=ansible | TASK [mysql : Create MySQL User] ****************************************************************************************************************************************
2024-11-18 02:31:36,832 p=54429 u=jason n=ansible | [WARNING]: Option column_case_sensitive is not provided. The default is now false, so the column's name will be uppercased. The default will be changed to true in
community.mysql 4.0.0.

2024-11-18 02:31:36,833 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:36,841 p=54429 u=jason n=ansible | PLAY [Configure Agama] **************************************************************************************************************************************************
2024-11-18 02:31:36,849 p=54429 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:31:37,978 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:31:37,983 p=54429 u=jason n=ansible | TASK [agama : make user Agama] ******************************************************************************************************************************************
2024-11-18 02:31:38,510 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:31:38,516 p=54429 u=jason n=ansible | TASK [agama : Agama is owner now] ***************************************************************************************************************************************
2024-11-18 02:31:38,884 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:31:38,890 p=54429 u=jason n=ansible | TASK [agama : download python3 flask sql] *******************************************************************************************************************************
2024-11-18 02:31:40,110 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:31:40,116 p=54429 u=jason n=ansible | TASK [agama : Download agama.py] ****************************************************************************************************************************************
2024-11-18 02:31:40,928 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:31:40,937 p=54429 u=jason n=ansible | PLAY [Configure uWSGI] **************************************************************************************************************************************************
2024-11-18 02:31:40,944 p=54429 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:31:41,968 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:31:41,972 p=54429 u=jason n=ansible | TASK [uwsgi : Install uWSGI] ********************************************************************************************************************************************
2024-11-18 02:31:43,079 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:31:43,085 p=54429 u=jason n=ansible | TASK [uwsgi : Configure host uwsgi] *************************************************************************************************************************************
2024-11-18 02:31:43,808 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:31:43,815 p=54429 u=jason n=ansible | TASK [uwsgi : Enable and start uWSGI service] ***************************************************************************************************************************
2024-11-18 02:31:44,415 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:31:44,423 p=54429 u=jason n=ansible | PLAY [Configure Nginx] **************************************************************************************************************************************************
2024-11-18 02:31:44,429 p=54429 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:31:45,555 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:31:45,556 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:45,560 p=54429 u=jason n=ansible | TASK [nginx : Install nginx] ********************************************************************************************************************************************
2024-11-18 02:31:46,765 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:31:46,868 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:46,875 p=54429 u=jason n=ansible | TASK [nginx : Template Nginx Config] ************************************************************************************************************************************
2024-11-18 02:31:47,718 p=54429 u=jason n=ansible | changed: [1PipeTeaseOps-1]
2024-11-18 02:31:47,719 p=54429 u=jason n=ansible | changed: [1PipeTeaseOps-2]
2024-11-18 02:31:47,726 p=54429 u=jason n=ansible | TASK [nginx : Enable and Start Nginx Service] ***************************************************************************************************************************
2024-11-18 02:31:48,408 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:31:48,409 p=54429 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:31:48,427 p=54429 u=jason n=ansible | RUNNING HANDLER [nginx : Restart Nginx] *********************************************************************************************************************************
2024-11-18 02:31:49,232 p=54429 u=jason n=ansible | changed: [1PipeTeaseOps-1]
2024-11-18 02:31:49,232 p=54429 u=jason n=ansible | changed: [1PipeTeaseOps-2]
2024-11-18 02:31:49,233 p=54429 u=jason n=ansible | PLAY RECAP **************************************************************************************************************************************************************
2024-11-18 02:31:49,233 p=54429 u=jason n=ansible | 1PipeTeaseOps-1            : ok=21   changed=2    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-11-18 02:31:49,233 p=54429 u=jason n=ansible | 1PipeTeaseOps-2            : ok=33   changed=2    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-11-18 02:34:55,226 p=55820 u=jason n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: If you are using a module and expect the file to exist on the remote, see the remote_src option
2024-11-18 02:34:55,226 p=55820 u=jason n=ansible | localhost | FAILED! => {
    "changed": false,
    "msg": "Could not find or access 'your-template.j2'\nSearched in:\n\t/Users/jason/ica0002/templates/your-template.j2\n\t/Users/jason/ica0002/your-template.j2\n\t./templates/your-template.j2\n\t./your-template.j2 on the Ansible Controller.\nIf you are using a module and expect the file to exist on the remote, see the remote_src option"
}
2024-11-18 02:35:07,279 p=55908 u=jason n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: If you are using a module and expect the file to exist on the remote, see the remote_src option
2024-11-18 02:35:07,280 p=55908 u=jason n=ansible | localhost | FAILED! => {
    "changed": false,
    "msg": "Could not find or access 'your-template.j2'\nSearched in:\n\t/Users/jason/ica0002/templates/your-template.j2\n\t/Users/jason/ica0002/your-template.j2\n\t./templates/your-template.j2\n\t./your-template.j2 on the Ansible Controller.\nIf you are using a module and expect the file to exist on the remote, see the remote_src option"
}
2024-11-18 02:35:57,891 p=56180 u=jason n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: If you are using a module and expect the file to exist on the remote, see the remote_src option
2024-11-18 02:35:57,891 p=56180 u=jason n=ansible | localhost | FAILED! => {
    "changed": false,
    "msg": "Could not find or access '/path/to/nginx-template.j2' on the Ansible Controller.\nIf you are using a module and expect the file to exist on the remote, see the remote_src option"
}
2024-11-18 02:40:07,721 p=57220 u=jason n=ansible | PLAY [Initial setup] ****************************************************************************************************************************************************
2024-11-18 02:40:07,730 p=57220 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:40:09,279 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:40:09,286 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:09,290 p=57220 u=jason n=ansible | TASK [init : Update APT cache] ******************************************************************************************************************************************
2024-11-18 02:40:10,266 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:10,273 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:40:10,279 p=57220 u=jason n=ansible | TASK [init : Install Prometheus Node Exporter] **************************************************************************************************************************
2024-11-18 02:40:11,410 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:40:11,438 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:11,443 p=57220 u=jason n=ansible | TASK [init : Ensure Prometheus Node Exporter is running] ****************************************************************************************************************
2024-11-18 02:40:12,144 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:40:12,153 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:12,164 p=57220 u=jason n=ansible | PLAY [Configure DNS Server] *********************************************************************************************************************************************
2024-11-18 02:40:12,170 p=57220 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:40:13,217 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:13,222 p=57220 u=jason n=ansible | TASK [bind : Install Bind9] *********************************************************************************************************************************************
2024-11-18 02:40:14,484 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:14,492 p=57220 u=jason n=ansible | TASK [bind : Template named.conf.options] *******************************************************************************************************************************
2024-11-18 02:40:15,309 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:15,315 p=57220 u=jason n=ansible | TASK [bind : Template named.conf.local] *********************************************************************************************************************************
2024-11-18 02:40:16,058 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:16,064 p=57220 u=jason n=ansible | TASK [bind : Template forward zone file] ********************************************************************************************************************************
2024-11-18 02:40:16,758 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:16,766 p=57220 u=jason n=ansible | TASK [bind : Template reverse zone file] ********************************************************************************************************************************
2024-11-18 02:40:17,475 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:17,483 p=57220 u=jason n=ansible | TASK [bind : Validate Bind9 Configuration] ******************************************************************************************************************************
2024-11-18 02:40:18,377 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:18,383 p=57220 u=jason n=ansible | TASK [bind : Validate Forward Zone] *************************************************************************************************************************************
2024-11-18 02:40:18,753 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:18,760 p=57220 u=jason n=ansible | TASK [bind : Validate Reverse Zone] *************************************************************************************************************************************
2024-11-18 02:40:19,139 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:19,148 p=57220 u=jason n=ansible | TASK [bind : Ensure Bind9 is running and enabled] ***********************************************************************************************************************
2024-11-18 02:40:19,701 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:19,706 p=57220 u=jason n=ansible | PLAY [Configure DNS Client] *********************************************************************************************************************************************
2024-11-18 02:40:19,710 p=57220 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:40:20,853 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:20,855 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:40:20,859 p=57220 u=jason n=ansible | TASK [config-dns : Resolv.conf] *****************************************************************************************************************************************
2024-11-18 02:40:21,552 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:40:21,553 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
